Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
,,GLAZER'S,8308966040,318528,,,,0,,0,-0.01,,0,0,,,,,,,,,,,,,,,0,0,,,0,0,,,
,,GLAZER'S,5171800049,631,,,,0,,0,-0.01,,2,1,,,,,,,,,,,,,,,0,0,,,-1,0,,,
11.25LOADED VODKA,LIQUOR,GLAZER'S,4023215493,374059,11.25LOADED VODKA,50ML,,11.25,,11.25,0.93,,0,0,,,,,,,,,,,,,,,11.25,45,,,0,60,,,
14 HANDS CAB SAUV,WINE,GLAZER'S,8858600189,107438,14 HANDS CAB SAUV,750ML,,9.02,,9.02,10.99,,0,0,,,,,,,,,,,,,,,9.02,102.4,,,13,12,,,
14 HANDS CHARD,WINE,GLAZER'S,8858600176,107437,14 HANDS CHARD,750ML,,9.02,,9.02,10.99,,0,0,,,,,,,,,,,,,,,9.02,93.86,,,9,12,,,
14 HANDS DERBY BLEND,WINE,GLAZER'S,8858600684,425206,14 HANDS DERBY BLEND,750ML,,7.11,,7.11,9.99,,0,0,,,,,,,,,,,,,,,7.11,85.32,,,0,12,,,
14 HANDS MERLOT,WINE,GLAZER'S,8858600177,107439,14 HANDS MERLOT,750ML,,9.32,,9.32,10.99,,1,1,,,,,,,,,,,,,,,9.32,93.86,,C,0,12,,,
14 HANDS RUN WILD RED BLEND,WINE,GLAZER'S,8858600919,483103,14 HANDS RUN WILD RE,750ML,,7.82,,0,9.99,,0,0,,,,,,,,,,,,,,,0,80,,,6,12,,,
14 HANDS SAUV,WINE,GLAZER'S,8858600687,376126,14 HANDS SAUV,750ML,,9.25,,9.25,9.99,,0,0,,,,,,,,,,,,,,,9.25,85.32,,,0,12,,,
1800 REPOSADO,LIQUOR,STANDARD LIQUOR CORP,1153801022,11316013,1800 REPOSADO,375ML,,13.25,,13.25,16.99,,0,0,,,,,,,,,,,,,,,13.25,150.3,,A,1,12,,,
1800 REPOSADO,LIQUOR,STANDARD LIQUOR CORP,1153801023,11316009,1800 REPOSADO,750ML,,22.52,,22.52,29.99,,2,1,,,,,,,,,,,,,,,22.52,267.55,,A,0,12,,,
