Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
16 OZ BEER,BEER,STORE,500003,90000009,,SINGLE,,,,0,0,,,,,,,,,,,,,,,,,,,,,Z01011,0,,,,
1800 REPOSADO TEQUILA,SPIRITS,STANDARD,2105922755,11316009,,750M,,,,24.12,33.29,,,,,,,,,,,,,,,,,,,,,F03178,2,,,,
1800 ULTIMATE MARGARITA RTD,SPIRITS,STANDARD,1153801915,11319004,,1.75L,,,,16.33,22.99,,,,,,,,,,,,,,,,,,,,,H02031,6,,,,
19 CRIMES CAB SAUV,WINE,GLAZER,1235400135,381497,,750M,,,,9.26,13.99,,,,,,,,,,,,,,,,,,,,,B03281,2,,,,
19 CRIMES DARK RED BANISHED,WINE,GLAZER,1235400168,442780,,750M,,,,9.26,13.99,,,,,,,,,,,,,,,,,,,,,B03283,1,,,,
19 CRIMES HARD CHARD,WINE,GLAZER,1235400194,475527,,750M,,,,9.26,13.99,,,,,,,,,,,,,,,,,,,,,B03285,0,,,,
19 CRIMES RED BLEND,WINE,GLAZER,1235400099,329721,,750M,,,,9.26,15.49,,,,,,,,,,,,,,,,,,,,,B03277,0,,,,
19 CRIMES RED BLEND UPRISING,WINE,GLAZER,1235400193,479312,,750M,,,,10.76,12.69,,,,,,,,,,,,,,,,,,,,,B03288,0,,,,
19 CRIMES RED WINE,WINE,GLAZER,1235401393,924040,,187M,,,,8.54,11.99,,,,,,,,,,,,,,,,,,,,,B03286,2,,,,
19 CRIMES SHIRAZ,WINE,GLAZER,1235400184,448243,,750M,,,,9.26,13.99,,,,,,,,,,,,,,,,,,,,,B03280,1,,,,
337 CAB SAUV,WINE,STANDARD,8224228043,7079009,,750M,,,,8.54,12.99,,,,,,,,,,,,,,,,,,,,,B05103,15,,,,
360 BING CHERRY VODKA,SPIRITS,GLAZER,8559213868,299563,,$$50M,,,,4.62,0.99,,,,,,,,,,,,,,,,,,,,,A01060,14,,,,
360 DOUBLE CHOC VODKA,SPIRITS,GLAZER,8559213858,288427,,50M,,,,0.97,1.29,,,,,,,,,,,,,,,,,,,,,A01058,0,,,,
360 DOUBLE CHOC VODKA,SPIRITS,GLAZER,8559213855,281178,,750M,,,,11.67,17.29,,,,,,,,,,,,,,,,,,,,,F02489,0,,,,
360 GEORGIA PEACH VODKA,SPIRITS,GLAZER,8559214248,299564,,$$50M,,,,4.62,0.99,,,,,,,,,,,,,,,,,,,,,A01059,1,,,,
360 RED DELICIOUS APPLE VODKA,SPIRITS,GLAZER,8559214375,416683,,750M,,,,11.67,17.29,,,,,,,,,,,,,,,,,,,,,F02490,0,,,,
360 ROYAL BERRY VODKA LIMITED,SPIRITS,GLAZER,8559216025,907747,,750M,,,,11.62,15.99,,,,,,,,,,,,,,,,,,,,,F02492,0,,,,
360 VODKA,SPIRITS,GLAZER,8559213375,174395,,750M,,,,11.67,17.29,,,,,,,,,,,,,,,,,,,,,D02052,0,,,,
4204 OFF DUTY LAGER 6 PACK CANS,BEER,LDSFD,6953800013,42810,,12 OZ,,,,7.2,9.31,,,,,,,,,,,,,,,,,,,,,F02448,0,,,,
4204 OKTOBERFEST 6 PACK CANS,BEER,LDSFD,3583345281,42811,,12 OZ,,,,7.2,9.31,,,,,,,,,,,,,,,,,,,,,F02449,0,,,,
50 PERCENT DISC SINGLE,BEER,CITYBEV,500024,184848,,8 OZ,,,,0,-6.8,,,,,,,,,,,,,,,,,,,,,A02312,-6,,,,
7 MOONS RED BLEND,WINE,GLAZER,8600326100,464052,,750M,,,,9.25,15.49,,,,,,,,,,,,,,,,,,,,,B03284,0,,,,
8 SECONDS CANADIAN WHISKY,SPIRITS,SPEAKEZ,8310350312,400326,,750M,,,,14.99,19.99,,,,,,,,,,,,,,,,,,,,,F09050,0,,,,
99 BANANAS,SPIRITS,STANDARD,8066011807,6483013,,375M,,,,6.95,10.29,,,,,,,,,,,,,,,,,,,,,A02158,0,,,,
99 BANANAS BANANA,CORDIALS,STANDARD,8066062005,6483009,,750M,,,,12.45,18.29,,,,,,,,,,,,,,,,,,,,,A10005,0,,,,
99 VINES MOSCATO,WINE,LDSFD,8458660715,558024,,750M,,,,5,7.09,,,,,,,,,,,,,,,,,,,,,B03115,0,,,,
99 VINES PINOT GRIGIO,WINE,LDSFD,8458660701,558064,,750M,,,,5,7.09,,,,,,,,,,,,,,,,,,,,,B03112,0,,,,
99 VINES PINOT NOIR,WINE,LDSFD,8458660714,558014,,750M,,,,5,7.09,,,,,,,,,,,,,,,,,,,,,B03117,0,,,,
ABSENTE ABSINTHE,SPIRITS,STANDARD,8976821102,1093009,,750M,,,,31.18,41.19,,,,,,,,,,,,,,,,,,,,,G02475,0,,,,
ABSENTE GIFT,SPIRITS,STANDARD,8976821104,1093009,,750M,,,,31.18,42.39,,,,,,,,,,,,,,,,,,,,,H01038,0,,,,
ABSOLUT CITRON,SPIRITS,GLAZER,3522900110,80037,,200M,,,,4.74,6.89,,,,,,,,,,,,,,,,,,,,,A01086,0,,,,
ABSOLUT CITRON,SPIRITS,GLAZER,3522900120,1806,,375M,,,,9.02,12.89,,,,,,,,,,,,,,,,,,,,,A01091,0,,,,
ABSOLUT MANDARIN VODKA,SPIRITS,GLAZER,3522900220,47877,,375M,,,,9.02,12.89,,,,,,,,,,,,,,,,,,,,,A09015,0,,,,
ABSOLUT VODKA,SPIRITS,GLAZER,3522900010,80171,,200M,,,,4.66,6.79,,,,,,,,,,,,,,,,,,,,,A01076,1,,,,
ABSOLUT VODKA,SPIRITS,GLAZER,3522900020,13223,,375M,,,,9.02,12.89,,,,,,,,,,,,,,,,,,,,,A01081,3,,,,
ABSOLUT VODKA,SPIRITS,GLAZER,3522900030,423736,,750M,,,,17.86,25.19,,,,,,,,,,,,,,,,,,,,,F02041,9,,,,
ABSOLUT VODKA 80,SPIRITS,GLAZER,3522900060,423734,,1.75L,,,,29.62,32.99,,,,,,,,,,,,,,,,,,,,,F02043,5,,,,
ADELAIDES CARAMEL MOCHA MOJO,CORDIALS,GLAZER,5193700709,479382,,750M,,,,14,20.79,,,,,,,,,,,,,,,,,,,,,H02005,0,,,,
ADELAIDES MINT CHOC CHIP,SPIRITS,GLAZER,1613602252,897142,,50M,,,,1.51,1.79,,,,,,,,,,,,,,,,,,,,,A01153,9,,,,
ADM NELSON SPICED RUM,SPIRITS,GLAZER,500700,47753,,750M,,,,8.55,10.99,,,,,,,,,,,,,,,,,,,,,F03249,0,,,,
ADM NELSON SPICED RUM TRV,SPIRITS,GLAZER,8835211728,123741,,750M,,,,8.55,10.99,,,,,,,,,,,,,,,,,,,,,F03247,1,,,,
ADMIRAL NELSON CHERRY RUM,SPIRITS,GLAZER,9674908635,240142,,375M,,,,3.96,6.39,,,,,,,,,,,,,,,,,,,,,H02490,1,,,,
ADMIRAL NELSON CHERRY SPICED RUM,SPIRITS,GLAZER,9674908637,240174,,50M,,,,0.66,0.99,,,,,,,,,,,,,,,,,,,,,H02489,0,,,,
ADMIRAL NELSON SPICED RUM,SPIRITS,GLAZER,8835211526,12732,,1.75L,,,,17.9,18.99,,,,,,,,,,,,,,,,,,,,,F03246,12,,,,
AFTER SHOCK HOT CINNAMON,CORDIALS,STANDARD,8068628140,495009,,750M,,,,17.89,25.89,,,,,,,,,,,,,,,,,,,,,H01024,0,,,,
ALBERTA RYE WHISKY DARK,SPIRITS,GLAZER,8068682001,371867,,750M,,,,21.01,28.99,,,,,,,,,,,,,,,,,,,,,F01042,0,,,,
ALIAS CHARDONNAY,WINE,WORLDWID,5083200403,10220232,,750M,,,,5.69,8.99,,,,,,,,,,,,,,,,,,,,,B03157,0,,,,
ALIAS MERLOT,WINE,WORLDWID,5083200402,10220132,,750M,,,,5.69,8.99,,,,,,,,,,,,,,,,,,,,,B03159,0,,,,
ALICE WHITE LEXIA,WINE,GLAZER,8210073708,67205,,750M,,,,4.98,5.99,,,,,,,,,,,,,,,,,,,,,B03023,0,,,,
ALIZE BLEU 40,CORDIALS,STANDARD,8469220623,1037015,,200M,,,,2.03,5.99,,,,,,,,,,,,,,,,,,,,,A10009,0,,,,
ALIZE GOLD PASSION,CORDIALS,STANDARD,8469220095,1926013,,375M,,,,3.89,11.59,,,,,,,,,,,,,,,,,,,,,A10003,0,,,,
ALIZE RED,CORDIALS,STANDARD,8469220114,15505009,,750M,,,,7.78,22.79,,,,,,,,,,,,,,,,,,,,,H01025,0,,,,
ALIZE RED PASSION CRANBERRY,CORDIALS,STANDARD,8469220115,1925013,,375M,,,,3.89,11.59,,,,,,,,,,,,,,,,,,,,,A10007,0,,,,
ALLURE PINK MOSCATO,WINE,STANDARD,8105495408,13401009,,750M,,,,6.41,9.09,,,,,,,,,,,,,,,,,,,,,B02117,0,,,,
ALMADEN CHARDONNAY,WINE,GLAZER,8012028153,413735,,5.OL,,,,14.24,16.99,,,,,,,,,,,,,,,,,,,,,C01124,0,,,,
AMARULA CREAM,CORDIALS,WORLDWID,8330004872,31403532,,750M,,,,15.5,22.09,,,,,,,,,,,,,,,,,,,,,D04024,7,,,,
AMERICAN BORN APPLE PIE MOONSHINE,SPIRITS,GLAZER,5019200502,467683,,750M,,,,17.9,25.29,,,,,,,,,,,,,,,,,,,,,F03325,0,,,,
AMERICAN BORN MOONSHINE ORIGINAL,SPIRITS,GLAZER,5019200500,467681,,750M,,,,17.9,25.29,,,,,,,,,,,,,,,,,,,,,F03327,0,,,,
AMERICAN BORN SWEET TEA MOONSHINE,SPIRITS,GLAZER,5019200501,467680,,750M,,,,17.9,25.29,,,,,,,,,,,,,,,,,,,,,F03326,0,,,,
AMSTEL LIGHT 6 PACK BTL,BEER,STANDARD,7289010011,7062,,12 OZ,,,,6.8,8.47,,,,,,,,,,,,,,,,,,,,,C02014,0,,,,
AMSTERDAM VODKA,SPIRITS,GLAZER,8500001947,163226,,200M,,,,3.1,4.79,,,,,,,,,,,,,,,,,,,,,A21472,3,,,,
AMSTERDAM VODKA,SPIRITS,GLAZER,8500001948,163227,,375M,,,,5.05,8.29,,,,,,,,,,,,,,,,,,,,,A21471,1,,,,
